"link","x","y"
"C5460",-157.75173813,21.283367976
"C5460",-157.751706671,21.283298914
"C5460",-157.751661665,21.28320852
"C1602",-157.749847999,21.321192767
"C1602",-157.749924532,21.3210827
"C1602",-157.749953799,21.321066101
"C1602",-157.749971397,21.320999967
"C1602",-157.750124198,21.320812767
"C1602",-157.750165332,21.320730101
"C1602",-157.750412132,21.3205043
"C1602",-157.750582532,21.320283967
"C1602",-157.750717598,21.320063767
"C1602",-157.750776332,21.3199371
"C1602",-157.750793998,21.3199205
"C1602",-157.750811599,21.319870967
"C1602",-157.750870333,21.3197553
"C1602",-157.750882132,21.319727767
"C1602",-157.750946732,21.319601101
"C1602",-157.750958532,21.3195901
"C1602",-157.750976132,21.319523967
"C1602",-157.751005398,21.319452367
"C1602",-157.751034798,21.3194029
"C1602",-157.751052399,21.319336767
"C1602",-157.751099398,21.319232167
"C1602",-157.751116998,21.3191935
"C1602",-157.751128732,21.3190999
"C1602",-157.751146398,21.319050367
"C1602",-157.751175732,21.3189623
"C1602",-157.751252132,21.318852167
"C1602",-157.751404932,21.3187089
"C1602",-157.751492998,21.3186483
"C1602",-157.751528198,21.318620767
"C1602",-157.751680999,21.3185437
"C1602",-157.751786799,21.318460967
"C1602",-157.752133532,21.3182737
"C1602",-157.752274531,21.3181305
"C1602",-157.752409732,21.3179983
"C1602",-157.752503732,21.317871567
"C1602",-157.752550599,21.3176899
"C1602",-157.752579999,21.3175687
"C1602",-157.752591732,21.317552167
"C1602",-157.752626997,21.317447567
"C1602",-157.752656331,21.317337367
"C1602",-157.752667998,21.317304367
"C1602",-157.752703132,21.316549901
"C1602",-157.752703132,21.3164343
"C1602",-157.752703132,21.3163187
"C1602",-157.752732532,21.3161921
"C1602",-157.752732399,21.316015767
"C1602",-157.752808731,21.315657767
"C1602",-157.752896732,21.3152503
"C1602",-157.752931999,21.315112567
"C1602",-157.752961332,21.3149805
"C1602",-157.753125732,21.3145123
"C1602",-157.753125732,21.314170967
"C1602",-157.753143331,21.314099367
"C1602",-157.753160932,21.314077367
"C1602",-157.753190332,21.313989167
"C1602",-157.753342999,21.313625767
"C1602",-157.753478132,21.3133669
"C1602",-157.753542732,21.313240167
"C1602",-157.753554399,21.3132127
"C1602",-157.753572132,21.313190702
"C1602",-157.753630732,21.312964767
"C1602",-157.753695331,21.3127281
"C1602",-157.753724731,21.3126839
"C1602",-157.753754132,21.3125849
"C1602",-157.753783398,21.312480167
"C1602",-157.753800998,21.312447167
"C1602",-157.753812798,21.312430567
"C1602",-157.753830398,21.312364567
"C1602",-157.753830398,21.312336967
"C1602",-157.753877399,21.312292967
"C1602",-157.753889199,21.312259901
"C1602",-157.753918531,21.312199367
"C1602",-157.754135932,21.3119845
"C1602",-157.754300398,21.311918367
"C1602",-157.754517932,21.3118743
"C1602",-157.754564799,21.311830167
"C1602",-157.754623598,21.311802701
"C47736",-157.747069975,21.293551143
"C47736",-157.7472713,21.293364524
"C4838",-157.746454285,21.285542283
"C4838",-157.746393481,21.285427849
"C56088",-157.745974575,21.2834465
"C56088",-157.745491923,21.283170424
"C41838",-157.754472743,21.298880054
"C41838",-157.754755193,21.298808654
"C3515",-157.754252928,21.289208321
"C3515",-157.754166484,21.289305146
"C31448",-157.744959066,21.287602571
"C31448",-157.744559304,21.287513463
"C10825",-157.747789589,21.291227518
"C10825",-157.747770024,21.291318027
"C36733",-157.754987323,21.300657226
"C36733",-157.755313529,21.300695924
"C20186",-157.744851048,21.289044426
"C20186",-157.744707719,21.2884143
"C21996",-157.756352373,21.284301504
"C21996",-157.756172282,21.284192245
"C21996",-157.755800367,21.283966674
"C21996",-157.755703534,21.283908808
"C21996",-157.755670504,21.283900909
"C20658",-157.754182385,21.28128979
"C20658",-157.754139216,21.281196623
"C20658",-157.754075195,21.281060174
"C20658",-157.754039338,21.280986202
"C3105",-157.752210666,21.2826008893
"C3105",-157.752455525,21.2824984
"C3105",-157.752642153,21.282420487
"C22448",-157.746145592,21.292677336
"C22448",-157.746586688,21.292599155
"C32992",-157.74701284,21.286085616
"C32992",-157.746765744,21.286039001
"C26520",-157.74463262,21.29276378
"C26520",-157.7445307,21.292461594
"C4953",-157.753128508,21.287992233
"C4953",-157.753168237,21.287947127
"C29904",-157.746396966,21.29473667
"C29904",-157.746540804,21.293977243
"C29904",-157.746923652,21.293986982
"C29904",-157.747180324,21.293919465
"C29206",-157.757081697,21.290228488
"C29206",-157.756781409,21.290197339
"C209505",-157.752939148,21.289033982
"C209505",-157.752952815,21.289097987
"C6685",-157.745552517,21.290819121
"C6685",-157.74553152,21.290734874
"C3208",-157.756934771,21.282680927
"C3208",-157.756915421,21.282614463
"C3208",-157.756862444,21.282457516
"C3208",-157.756835442,21.28235534
"C3208",-157.75679603,21.28220981
"C3208",-157.756757336,21.282074712
"C38520",-157.755270026,21.298823082
"C38520",-157.755485613,21.298812477
"C50591",-157.752728474,21.292720227
"C50591",-157.752812618,21.292681768
"C4966",-157.755541537,21.288620429
"C4966",-157.755480842,21.288688108
"C4966",-157.755417213,21.288755225
"C38332",-157.753820412,21.280610177
"C38332",-157.753611009,21.280689636
"C38332",-157.753151408,21.280873251
"C38332",-157.752763089,21.28102301
"C11113",-157.747927367,21.291212755
"C11113",-157.747901752,21.29131195
"C10837",-157.749477181,21.287956816
"C10837",-157.749343489,21.287633986
"C6228",-157.759067767,21.274633472
"C6228",-157.758790829,21.274731287
"C6228",-157.758596138,21.274801225
"C31186",-157.746765744,21.286039001
"C31186",-157.746687913,21.285894812
"C50802",-157.747506666,21.286883335
"C50802",-157.747332599,21.286297062
"C6461",-157.757143209,21.274030784
"C6461",-157.756702881,21.274118344
"C23110",-157.745728337,21.29168057
"C23110",-157.745733164,21.291604192
"C3201",-157.753029223,21.284127041
"C3201",-157.753361641,21.283992726
"C46906",-157.754366685,21.289688112
"C46906",-157.754279265,21.289709491
"C54201",-157.754519159,21.284101063
"C54201",-157.753577998,21.284466323
"C19051",-157.748550311,21.2815083585
"C19051",-157.749782397,21.281162516
"C19051",-157.750151141,21.281080741
"C19051",-157.750259487,21.281057503
"C27587",-157.745325171,21.281711934
"C27587",-157.74547899,21.281640034
"C27587",-157.745545743,21.281613915
"C27587",-157.745629704,21.281591856
"C27587",-157.745711499,21.281577862
"C27587",-157.745810492,21.281573977
"C27587",-157.745877198,21.281576094
"C27587",-157.746334187,21.281633362
"C5464",-157.757815428,21.282758126
"C5464",-157.757677694,21.282791068
"C5464",-157.757536278,21.282830091
"C5881",-157.746862984,21.288893539
"C5881",-157.74714367,21.288556424
"C34897",-157.748521396,21.278474991
"C34897",-157.748225077,21.278348899
"C34897",-157.748003374,21.277511628
"C47280",-157.746687913,21.285894812
"C47280",-157.746605176,21.285766623
"C6457",-157.747428675,21.279242399
"C6457",-157.74744109,21.279281388
"C6457",-157.747521755,21.279641686
"C41672",-157.756812424,21.282064748
"C41672",-157.756757336,21.282074712
"C34492",-157.757541852,21.287933061
"C34492",-157.757445929,21.287990774
"C54454",-157.744244176,21.28396851
"C54454",-157.744256391,21.283441384
"C29283",-157.74359337,21.290416846
"C29283",-157.743465807,21.290307327
"C57157",-157.747218225,21.285115704
"C57157",-157.747230707,21.284979529
"C27594",-157.756377396,21.297300751
"C27594",-157.756213718,21.297261052
"C47318",-157.757749778,21.276000044
"C47318",-157.757684754,21.275800796
"C47318",-157.757621956,21.275588862
"C47318",-157.757516777,21.275251243
"C47318",-157.757489764,21.275156788
"C40091",-157.746765339,21.283879631
"C40091",-157.746142777,21.283535827
"C4527",-157.756837873,21.287123916
"C4527",-157.757333964,21.286862124
"C10987",-157.747840376,21.292961193
"C10987",-157.747784235,21.292901901
"C36287",-157.757267182,21.283567431
"C36287",-157.756518963,21.284137693
"C36287",-157.75644793,21.284242048
"C36287",-157.756362857,21.2843040735
"C4325",-157.754180097,21.284652969
"C4325",-157.753750992,21.284844998
"C22262",-157.746748183,21.283996158
"C22262",-157.746765339,21.283879631
"C43372",-157.755898808,21.288033143
"C43372",-157.756495809,21.28793855
"C12496",-157.75210626,21.290034933
"C12496",-157.752182834,21.289668692
"C3540",-157.755794732,21.28670959
"C3540",-157.755712383,21.286773131
"C50592",-157.752812618,21.292681768
"C50592",-157.752746237,21.292637624
"C29107",-157.747963565,21.289998098
"C29107",-157.747964549,21.289906306
"C34774",-157.750496621,21.283476006
"C34774",-157.750715894,21.283425082
"C34774",-157.751055267,21.283349131
"C34774",-157.75139905,21.28327095
"C34774",-157.751445321,21.283263814
"C32232",-157.757361269,21.296281599
"C32232",-157.757324874,21.296011833
"C35270",-157.746789925,21.294867465
"C35270",-157.746905345,21.294889582
"C24581",-157.747870837,21.291541403
"C24581",-157.747901752,21.29131195
"C4506",-157.75385797,21.289143454
"C4506",-157.753354688,21.289086191
"C37247",-157.745246436,21.291759676
"C37247",-157.745522796,21.291626052
"C45215",-157.756687912,21.293683789
"C45215",-157.756259623,21.293562189
"C56323",-157.743820737,21.287418628
"C56323",-157.74417627,21.287387937
"C20180",-157.754663126,21.294688895
"C20180",-157.754797185,21.294664252
"C8524",-157.75660667,21.297279164
"C8524",-157.756377396,21.297300751
"C40039",-157.753306514,21.288251266
"C40039",-157.753293501,21.288128442
"C40090",-157.74572356,21.284882009
"C40090",-157.745758176,21.284474121
"C52749",-157.745436954,21.286790766
"C52749",-157.745361687,21.28658986
"C45453",-157.756629455,21.276348054
"C45453",-157.756609425,21.27625021
"C45453",-157.756534331,21.275924379
"C45453",-157.756452979,21.275610733
"C45453",-157.756408149,21.275412352
"C22292",-157.756176609,21.274450354
"C22292",-157.756136116,21.274218155
"C45339",-157.752236589,21.284430722
"C45339",-157.753029223,21.284127041
"C6606",-157.753856383,21.296928766
"C6606",-157.754268454,21.296701385
"C54033",-157.754453885,21.295764769
"C54033",-157.754567266,21.295810036
"C21540",-157.757848159,21.282553307
"C21540",-157.7576634,21.282367489
"C21540",-157.757594754,21.282236293
"C21540",-157.757487299,21.28215143
"C21540",-157.757306566,21.282309333
"C49288",-157.748743924,21.281724391
"C49288",-157.748671742,21.281639802
"C49288",-157.748554491,21.2815034
"C4478",-157.754281003,21.289105925
"C4478",-157.754086725,21.289136006
"C53735",-157.744503095,21.280511236
"C53735",-157.744566043,21.280428667
"C10988",-157.748823544,21.292839699
"C10988",-157.748844113,21.292746991
"C20657",-157.755897164,21.282267213
"C20657",-157.75585741,21.282106798
"C20657",-157.755575781,21.2817308542
"C41662",-157.744783686,21.289455585
"C41662",-157.744795451,21.289075576
"C23848",-157.752471376,21.288820349
"C23848",-157.752180722,21.288519338
"C4963",-157.752388119,21.288986582
"C4963",-157.75230717,21.289090577
"C51020",-157.745830913,21.287713222
"C51020",-157.7454814,21.287473222
"C36288",-157.754421301,21.291068245
"C36288",-157.754659758,21.291189121
"C11116",-157.746137586,21.293119756
"C11116",-157.74657012,21.293005548
"C11116",-157.74665595,21.293081988
"C11116",-157.746817995,21.293239775
"C11116",-157.747419152,21.292696023
"C51036",-157.754709468,21.299570279
"C51036",-157.754762667,21.299111717
"C36587",-157.745729855,21.280746014
"C36587",-157.745640182,21.280727849
"C27081",-157.753046684,21.28971864
"C27081",-157.753015534,21.289683344
"C31353",-157.756535614,21.298033233
"C31353",-157.755932816,21.298193614
"C3207",-157.756757336,21.282074712
"C3207",-157.756581406,21.282115254
"C3207",-157.756249021,21.28218671
"C3207",-157.75610027,21.282221979
"C29279",-157.749331663,21.284351654
"C29279",-157.749352771,21.284244538
"C29279",-157.749385729,21.284077801
"C27485",-157.755660904,21.288595226
"C27485",-157.755541537,21.288620429
"C27591",-157.747371286,21.287075339
"C27591",-157.747506666,21.286883335
"C52497",-157.757225476,21.28897962
"C52497",-157.757330041,21.288132746
"C6459",-157.748624234,21.278915668
"C6459",-157.748521396,21.278474991
"C3824",-157.756882423,21.293738529
"C3824",-157.756687912,21.293683789
"C8294",-157.754528374,21.299546155
"C8294",-157.754709468,21.299570279
"C50699",-157.754085531,21.289190524
"C50699",-157.754086725,21.289136006
"C13545",-157.746249404,21.292284624
"C13545",-157.745969481,21.292386307
"C13545",-157.74564421,21.292295145
"C13545",-157.745364489,21.292132159
"C11114",-157.748384932,21.291914611
"C11114",-157.747793588,21.29198197
"C35013",-157.754706122,21.298079695
"C35013",-157.755283127,21.297949501
"C42141",-157.747499073,21.292625161
"C42141",-157.747737198,21.292346132
"C1783",-157.755861398,21.303591767
"C1783",-157.755919998,21.303244767
"C1783",-157.756284197,21.302523301
"C1783",-157.756360532,21.3020827
"C1783",-157.755907799,21.3014111
"C1783",-157.756165798,21.299599167
"C1783",-157.755983332,21.298393301
"C1783",-157.755506931,21.296510101
"C1783",-157.755159599,21.2944781
"C1783",-157.755188799,21.293822767
"C1783",-157.755400132,21.2929417
"C5873",-157.745910876,21.289677375
"C5873",-157.74562576,21.289365911
"C41809",-157.74612593,21.294394343
"C41809",-157.746142676,21.294134684
"C41809",-157.746141334,21.294133226
"C4526",-157.753928814,21.287170109
"C4526",-157.753688169,21.28748453
"C35252",-157.747558838,21.290368012
"C35252",-157.747849128,21.290311412
"C6596",-157.745404554,21.286089914
"C6596",-157.745888329,21.285681192
"C40572",-157.748173908,21.289662287
"C40572",-157.748265735,21.289566233
"C22243",-157.754549933,21.275864618
"C22243",-157.755407698,21.278532726
"C40139",-157.746299597,21.288362976
"C40139",-157.746169509,21.288284036
"C41649",-157.7548046,21.295726595
"C41649",-157.754900048,21.295516871
"C6458",-157.750603804,21.2793202053
"C6458",-157.75108903,21.279024994
"C24",-157.749678599,21.325443967
"C24",-157.749860732,21.3253615
"C24",-157.750136932,21.325174167
"C24",-157.750166332,21.325135567
"C24",-157.750272132,21.3250695
"C24",-157.750536532,21.324931767
"C24",-157.750671732,21.324849101
"C24",-157.750842132,21.3246949
"C24",-157.750871531,21.3245737
"C24",-157.750947799,21.3245021
"C24",-157.750994799,21.324364367
"C24",-157.751006531,21.324336967
"C24",-157.751006531,21.324314901
"C24",-157.751082932,21.324210167
"C24",-157.751112332,21.324155167
"C24",-157.751141732,21.324144167
"C24",-157.751217999,21.324089101
"C24",-157.751253331,21.3240505
"C24",-157.751494199,21.3238743
"C24",-157.751558932,21.323808167
"C24",-157.751799732,21.323378567
"C24",-157.751864332,21.3232079
"C24",-157.751876132,21.323158301
"C24",-157.751905532,21.3231253
"C24",-157.751905532,21.323103167
"C24",-157.751970132,21.323031567
"C24",-157.752075798,21.322888367
"C24",-157.752122932,21.322866367
"C24",-157.752134599,21.3228389
"C24",-157.752228599,21.3227177
"C24",-157.752334332,21.322541367
"C24",-157.752428333,21.3224313
"C24",-157.752469532,21.322376167
"C24",-157.752534132,21.322271501
"C24",-157.752639798,21.322133767
"C24",-157.752669199,21.3220953
"C24",-157.752745598,21.3219301
"C24",-157.752774999,21.321874967
"C24",-157.752839599,21.3217593
"C24",-157.752868999,21.321682167
"C24",-157.752945332,21.321566567
"C24",-157.753039332,21.321489501
"C24",-157.753250799,21.3213187
"C24",-157.753374332,21.321258101
"C24",-157.753450732,21.321197501
"C24",-157.753832532,21.320619167
"C24",-157.753985332,21.320442967
"C24",-157.754361332,21.320228101
"C24",-157.754549331,21.3200795
"C24",-157.754760932,21.319892101
"C24",-157.754931332,21.319732367
"C24",-157.754972399,21.319671767
"C24",-157.755019398,21.319583701
"C24",-157.755019398,21.3195341
"C24",-157.755189799,21.319247767
"C24",-157.755189732,21.319154167
"C24",-157.755266132,21.3190605
"C24",-157.755266133,21.319016367
"C24",-157.755495199,21.318553767
"C24",-157.755524532,21.3184217
"C24",-157.755571532,21.318294967
"C24",-157.755753598,21.3180251
"C24",-157.755829998,21.3178929
"C24",-157.755829932,21.317771767
"C24",-157.755841599,21.3175845
"C24",-157.755876798,21.3174909
"C24",-157.755953198,21.317358767
"C24",-157.756164732,21.317160367
"C24",-157.756182399,21.317099767
"C24",-157.756211732,21.316962167
"C24",-157.756193998,21.3167585
"C24",-157.756146932,21.316626301
"C24",-157.756029399,21.316477567
"C24",-157.755994198,21.316416967
"C24",-157.756040998,21.3158609
"C24",-157.756058599,21.315734167
"C24",-157.756040932,21.3156131
"C24",-157.755982132,21.315475367
"C24",-157.755552932,21.3147265
"C24",-157.755494132,21.3145063
"C24",-157.755476399,21.314462301
"C24",-157.755429398,21.3143687
"C24",-157.755429398,21.314247567
"C24",-157.755505731,21.313911567
"C24",-157.755523331,21.313839967
"C24",-157.755540932,21.313702301
"C24",-157.755587932,21.3135591
"C24",-157.755628932,21.313311301
"C24",-157.755628799,21.312832167
"C24",-157.755616999,21.3126395
"C24",-157.755599332,21.3125679
"C24",-157.755540532,21.3124963
"C24",-157.755417131,21.3124413
"C24",-157.755246731,21.3124083
"C24",-157.755082199,21.3123863
"C24",-157.755052731,21.312369767
"C24",-157.755017532,21.312347767
"C24",-157.754988131,21.312331167
"C24",-157.754929332,21.312287167
"C24",-157.754823599,21.3121661
"C24",-157.754717732,21.312088967
"C24",-157.754670732,21.3120339
"C24",-157.754641332,21.3119459
"C24",-157.754623598,21.311802701
"C29682",-157.756595138,21.281357069
"C29682",-157.756555564,21.281309588
"C27369",-157.751136658,21.284945688
"C27369",-157.75094694,21.28488682
"C41682",-157.755865471,21.293447218
"C41682",-157.75531715,21.293287659
"C36553",-157.75454508,21.284631225
"C36553",-157.754460038,21.284549201
"C20331",-157.752180722,21.288519338
"C20331",-157.752089653,21.288527505
"C56004",-157.754705048,21.291112064
"C56004",-157.754594097,21.2905442138
"C51799",-157.757324874,21.296011833
"C51799",-157.757321461,21.29598654
"C25760",-157.756492802,21.286421836
"C25760",-157.757380115,21.285812462
"C18454",-157.754786629,21.285537944
"C18454",-157.754667712,21.285514156
"C22183",-157.75559921,21.288824248
"C22183",-157.755541537,21.288620429
"C22972",-157.75536528,21.287744605
"C22972",-157.755189945,21.287866119
"C8520",-157.753937788,21.294997209
"C8520",-157.754137912,21.295358985
"C10983",-157.747625662,21.294142588
"C10983",-157.747758097,21.294146851
"C3250",-157.757869712,21.289283739
"C3250",-157.757826132,21.289439558
"C3205",-157.75610027,21.282221979
"C3205",-157.755897164,21.282267213
"C55851",-157.752746237,21.292637624
"C55851",-157.752553061,21.292444121
"C24074",-157.74599581,21.282401953
"C24074",-157.746279813,21.282319943
"C29513",-157.755436044,21.300597824
"C29513",-157.756013649,21.300667711
"C8523",-157.75691633,21.296740338
"C8523",-157.756766623,21.296740121
"C33052",-157.756027737,21.296563665
"C33052",-157.755536497,21.296626976
"C3823",-157.757039779,21.293783888
"C3823",-157.756882423,21.293738529
"C26298",-157.748368889,21.28867811
"C26298",-157.748407314,21.288457848
"C4954",-157.753342919,21.287997968
"C4954",-157.753168237,21.287947127
"C33053",-157.755325859,21.296641557
"C33053",-157.755531595,21.296607596
"C79",-157.743471331,21.320461567
"C79",-157.743436132,21.3202303
"C79",-157.743424332,21.320109101
"C79",-157.743424198,21.319718101
"C79",-157.743424199,21.319657567
"C79",-157.743471132,21.319563967
"C79",-157.743512398,21.3195253
"C79",-157.743529999,21.3194813
"C79",-157.743547598,21.319426167
"C79",-157.743623999,21.319343567
"C79",-157.743712132,21.319189367
"C79",-157.743741399,21.319046301
"C79",-157.743806132,21.3188701
"C79",-157.743817799,21.3186773
"C79",-157.743835399,21.318567101
"C79",-157.743852998,21.3184955
"C79",-157.743882332,21.3184185
"C79",-157.743929398,21.318291767
"C79",-157.743929332,21.3181321
"C79",-157.743911732,21.318093567
"C79",-157.743929332,21.3179063
"C79",-157.743893932,21.317531767
"C79",-157.743882198,21.317504367
"C79",-157.743864532,21.317383167
"C79",-157.743852799,21.3173777
"C79",-157.743835199,21.317311567
"C79",-157.743817532,21.317262101
"C79",-157.743805798,21.317217967
"C79",-157.743788132,21.317201501
"C79",-157.743788132,21.317173901
"C79",-157.743776399,21.3171629
"C79",-157.743746999,21.317091301
"C79",-157.743670532,21.316865501
"C79",-157.743652932,21.316562701
"C79",-157.743652798,21.3164305
"C79",-157.743711532,21.3162873
"C79",-157.743711532,21.316237767
"C79",-157.743729132,21.3162213
"C79",-157.743823198,21.3159789
"C79",-157.743852598,21.315901767
"C79",-157.743864332,21.3158743
"C79",-157.743864332,21.315802701
"C79",-157.743881798,21.315714567
"C79",-157.743893531,21.315400767
"C79",-157.743911199,21.3153897
"C79",-157.743911199,21.315345567
"C79",-157.744046332,21.315158367
"C79",-157.744110999,21.3150813
"C79",-157.7443988,21.314756367
"C79",-157.744398799,21.314734301
"C79",-157.744463532,21.314668167
"C79",-157.744504599,21.3145251
"C79",-157.744504599,21.3143819
"C79",-157.744504532,21.3140459
"C79",-157.744492733,21.313985367
"C79",-157.744492732,21.313858767
"C79",-157.744521999,21.3137541
"C79",-157.744615998,21.313550367
"C79",-157.744674798,21.313473167
"C79",-157.744845199,21.313346567
"C79",-157.744933331,21.313274967
"C79",-157.744950999,21.3132639
"C79",-157.744950932,21.313247367
"C79",-157.745039132,21.3131813
"C79",-157.745086132,21.3131207
"C79",-157.745103732,21.3130601
"C79",-157.7453916,21.312498367
"C79",-157.745438598,21.312382767
"C79",-157.745467932,21.3123001
"C79",-157.745514932,21.312294567
"C79",-157.745544332,21.312189967
"C79",-157.745561931,21.312118367
"C79",-157.745591332,21.3120523
"C79",-157.745620599,21.3119257
"C79",-157.745649931,21.311749367
"C79",-157.745667532,21.311160167
"C79",-157.745679332,21.3110115
"C79",-157.745679199,21.3106371
"C79",-157.745696732,21.310378167
"C79",-157.745714331,21.310240567
"C79",-157.745755398,21.310031301
"C79",-157.745755398,21.3098991
"C79",-157.745831732,21.3097779
"C79",-157.745867132,21.309750501
"C79",-157.745925731,21.309596167
"C79",-157.745972732,21.3094751
"C79",-157.745972732,21.309194167
"C79",-157.745972599,21.309133567
"C79",-157.745943332,21.3090841
"C79",-157.745896199,21.3089189
"C79",-157.745878599,21.308902367
"C79",-157.745878531,21.308885767
"C79",-157.745866799,21.3088693
"C79",-157.745831532,21.308715167
"C79",-157.745819799,21.308704167
"C79",-157.745819799,21.308643567
"C79",-157.745790398,21.308571967
"C79",-157.745790332,21.308500367
"C79",-157.745772732,21.3084509
"C79",-157.745743333,21.3083077
"C79",-157.745743199,21.307960767
"C79",-157.745760799,21.3078671
"C79",-157.745790198,21.307685367
"C79",-157.745819531,21.307432101
"C79",-157.745837132,21.307371501
"C79",-157.745848932,21.307294367
"C79",-157.745866532,21.307239367
"C79",-157.745913532,21.3072173
"C79",-157.745925198,21.307145767
"C79",-157.746136732,21.306815167
"C79",-157.746183798,21.306771167
"C79",-157.746213131,21.306705167
"C79",-157.746289532,21.3064573
"C79",-157.746277598,21.306176367
"C79",-157.746289398,21.306115901
"C79",-157.746324599,21.3060663
"C79",-157.746383333,21.305829501
"C79",-157.746442132,21.305763367
"C79",-157.746518532,21.305691767
"C79",-157.746671199,21.305581567
"C79",-157.746706532,21.305526567
"C79",-157.746765198,21.3053613
"C79",-157.746735799,21.305179567
"C79",-157.746671132,21.305052967
"C79",-157.746535932,21.3048823
"C79",-157.746477132,21.304694967
"C79",-157.746477132,21.3045849
"C79",-157.746459532,21.304507767
"C79",-157.746488799,21.304342567
"C79",-157.746518133,21.304116767
"C79",-157.746535732,21.3040233
"C79",-157.746565131,21.3037975
"C79",-157.746658998,21.303610167
"C79",-157.746688399,21.3033955
"C79",-157.746735333,21.3032413
"C79",-157.746782399,21.303026367
"C79",-157.746811732,21.3029439
"C79",-157.746823399,21.3028117
"C79",-157.746840999,21.3027401
"C79",-157.746858598,21.3027291
"C79",-157.746870398,21.302668501
"C79",-157.746934997,21.302508767
"C79",-157.747023132,21.302354567
"C79",-157.747087732,21.3022885
"C79",-157.747117132,21.302167367
"C79",-157.747269799,21.3020297
"C79",-157.747375599,21.301930501
"C79",-157.747622399,21.3017487
"C79",-157.747698799,21.3016661
"C79",-157.747728132,21.3016055
"C79",-157.747710398,21.301462367
"C79",-157.747698731,21.301346767
"C79",-157.747757399,21.301109967
"C79",-157.747833799,21.3008897
"C79",-157.747845398,21.300845567
"C79",-157.747968799,21.3005427
"C79",-157.747998132,21.3003995
"C79",-157.748080398,21.300245301
"C79",-157.748074532,21.3002013
"C79",-157.748092198,21.300157101
"C79",-157.748168532,21.300019501
"C79",-157.748303532,21.2995899
"C79",-157.748321198,21.299578967
"C79",-157.748503198,21.299017167
"C79",-157.748532598,21.2989621
"C79",-157.748673532,21.2985931
"C79",-157.748673532,21.2985271
"C79",-157.748732332,21.298411367
"C79",-157.748796798,21.2983453
"C79",-157.748855599,21.298279167
"C79",-157.748855532,21.298251567
"C79",-157.748902598,21.2982187
"C79",-157.748908532,21.298191101
"C79",-157.749419599,21.297634767
"C79",-157.749842532,21.2970015
"C79",-157.7499952,21.2967371
"C79",-157.750071531,21.2963957
"C79",-157.750136132,21.296015567
"C79",-157.750276998,21.2957237
"C79",-157.750511999,21.295575101
"C79",-157.750923198,21.2953767
"C79",-157.751334532,21.294908501
"C79",-157.751651732,21.2945229
"C79",-157.751839732,21.294445767
"C79",-157.752280399,21.2943467
