"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"1",1,50.27226696,28.12488788,0,8242850.541,6.24,0,0,3.04,0,0.79,0.79,4.08,43.86,0.127,9.58406313532599e-08,"Natural (less than 15 % Impervious)"
"2",2,55.31557618,36.40935203,0.000927115,11211635.15,6.24,0.57,0,2.6,0,1.06,1.06,7.4,82.39,0.156,9.45446391911888e-08,"Natural (less than 15 % Impervious)"
"3",3,61.06273397,33.94600956,0,13733857.72,6.24,0,0,2.07,0,0.96,0.96,8.26,81.97,0.155,6.99002435857476e-08,"Natural (less than 15 % Impervious)"
"4",4,60.82817617,20.19128626,38.51763637,244206.8928,2.7,0,0,0.89,0.96,0.39,1.35,0.21,5.38,0.502,5.52809949187478e-06,"Urbanized (Between 15 and 45 % Impervious)"
"5",5,59.94459387,4.973907902,59.22528719,42008.07262,2.7,0,0,0.61,1.49,0.35,1.84,0.05,1.62,0.682,4.3801105007707e-05,"Very urbanized (More than 45 % Impervious)"
"6",6,39.1463619,0,58.53240322,233227.5612,2.7,0,0,0.89,0,0,0,0,0,0,0,"Very urbanized (More than 45 % Impervious)"
"7",7,62.46734994,24.37085007,14.10178763,2174275.191,2.7,0,0,1.18,0.35,0.34,0.69,0.94,17.61,0.256,3.173471338201e-07,"Natural (less than 15 % Impervious)"
"8",8,43.75794125,3.156830956,46.87794523,155360.1987,2.7,0,0,1.08,1.17,0.13,1.3,0.13,4.05,0.48,8.36765150198022e-06,"Very urbanized (More than 45 % Impervious)"
"9",9,64.92769033,34.31882952,1.783702012,883743.9176,2.7,0,0,1.23,0.05,0.69,0.74,0.41,4.42,0.273,8.37346639974204e-07,"Natural (less than 15 % Impervious)"
"10",10,59.50282392,13.03499906,46.82731603,527259.4977,2.7,0,0,0.8,1.16,0.31,1.47,0.48,13.91,0.544,2.7880009870138e-06,"Very urbanized (More than 45 % Impervious)"
"11",11,55.59506349,0.94758568,60.17684089,1461121.289,2.7,0,0,0.67,1.37,0.12,1.49,1.36,40.87,0.553,1.0197647595839e-06,"Very urbanized (More than 45 % Impervious)"
"12",12,62.92827145,18.41688055,28.88469268,277490.0101,2.7,0,0,0.96,0.72,0.5,1.23,0.21,4.74,0.454,4.43259200414725e-06,"Urbanized (Between 15 and 45 % Impervious)"
"13",13,37.24906666,2.801558317,60.72206092,210147.7983,2.7,0,0,0.86,1.48,0.04,1.52,0.2,7.07,0.562,7.23300463909738e-06,"Very urbanized (More than 45 % Impervious)"
"14",14,59.93119871,10.06220211,51.97367076,244581.3896,2.7,0,0,0.72,1.29,0.36,1.65,0.25,7.44,0.612,6.74622056362705e-06,"Very urbanized (More than 45 % Impervious)"
"15",15,40.48688745,0.780762234,53.68409461,191335.255,2.7,0,0,0.98,1.31,0.06,1.37,0.16,5.68,0.506,7.16020683172058e-06,"Very urbanized (More than 45 % Impervious)"
"16",16,59.46640066,25.49224019,29.72936196,255938.12,2.7,0,0,1.06,0.74,0.42,1.16,0.19,4.36,0.43,4.53234555290162e-06,"Urbanized (Between 15 and 45 % Impervious)"
"17",17,58.35095289,10.78205321,48.09130146,245110.0632,2.7,0,0,0.81,1.19,0.35,1.54,0.24,6.75,0.57,6.28289177480005e-06,"Very urbanized (More than 45 % Impervious)"
"18",18,59.57713747,17.3274096,41.48075899,294312.6694,2.7,0,0,0.88,1.03,0.35,1.38,0.25,6.92,0.512,4.68889090915907e-06,"Urbanized (Between 15 and 45 % Impervious)"
"19",19,37.69305324,2.445729247,43.40998739,303386.9708,2.7,0,0,1.23,1.07,0.05,1.13,0.21,7.31,0.418,3.72461611327707e-06,"Urbanized (Between 15 and 45 % Impervious)"
"20",20,68.12691091,28.73820831,5.926748961,3260351.436,2.7,0,0,1,0.15,0.46,0.61,1.24,13.37,0.226,1.87096394966668e-07,"Natural (less than 15 % Impervious)"
"21",21,41.71681727,2.133592209,64.38962281,78832.74443,2.7,0,0,0.74,1.59,0.08,1.67,0.08,2.82,0.618,2.11840905968063e-05,"Very urbanized (More than 45 % Impervious)"
"22",22,52.60334735,5.224537757,57.3645861,106889.4334,2.7,0,0,0.76,1.43,0.22,1.66,0.11,3.41,0.614,1.55300664172105e-05,"Very urbanized (More than 45 % Impervious)"
"23",23,58.75297863,2.091764046,60.15848873,712111.0521,2.7,0,0,0.62,1.43,0.22,1.65,0.73,23.26,0.611,2.31705433462124e-06,"Very urbanized (More than 45 % Impervious)"
"24",24,65.60653952,29.28704431,0.81502431,5956372.531,6.24,0,0,1.61,0.05,0.98,1.03,3.83,37.36,0.165,1.72924039696872e-07,"Natural (less than 15 % Impervious)"
"25",25,61.670282,27.32156393,26.67894757,434355.6042,2.7,0,0,1.04,0.67,0.47,1.14,0.31,6.77,0.423,2.62457762482347e-06,"Urbanized (Between 15 and 45 % Impervious)"
"26",26,52.48623249,2.385881052,52.66356043,206507.8416,2.7,0,0,0.84,1.3,0.22,1.52,0.2,6.04,0.564,7.36049531205792e-06,"Very urbanized (More than 45 % Impervious)"
"27",27,61.07520389,27.94698162,13.33065868,702726.8756,2.7,0,0,1.25,0.34,0.51,0.84,0.37,5.65,0.312,1.19534349569709e-06,"Natural (less than 15 % Impervious)"
"28",28,58.22900794,9.695153025,45.64873898,1400354.976,2.7,0,0,0.85,1.11,0.29,1.4,1.22,35.64,0.519,9.99746509987765e-07,"Very urbanized (More than 45 % Impervious)"
"29",29,46.60531394,4.303892997,63.75089696,62214.51584,2.7,0,0,0.71,1.59,0.13,1.71,0.07,2.2,0.634,2.74855470128175e-05,"Very urbanized (More than 45 % Impervious)"
"30",30,41.09880832,1.17347833,28.87544298,106274.8041,2.7,0,0,1.49,0.72,0.1,0.82,0.05,1.7,0.303,7.71584579190017e-06,"Urbanized (Between 15 and 45 % Impervious)"
"31",31,58.70699023,10.27077404,47.00969557,229731.4536,2.7,0,0,0.82,1.18,0.38,1.55,0.22,6.32,0.575,6.74700819461493e-06,"Very urbanized (More than 45 % Impervious)"
"32",32,36.36264424,1.91627193,55.41356127,201517.2728,2.7,0,0,0.98,1.36,0.03,1.39,0.18,6.19,0.516,6.8976717513418e-06,"Very urbanized (More than 45 % Impervious)"
"33",33,36.43171719,2.383154493,52.76045359,326340.5269,2.7,0,0,1.04,1.3,0.04,1.34,0.27,9.55,0.494,4.10614033362339e-06,"Very urbanized (More than 45 % Impervious)"
"34",34,50.45073099,6.571679077,55.84532683,439337.823,2.7,0,0,0.82,1.36,0.16,1.52,0.42,13.58,0.564,3.45975220075691e-06,"Very urbanized (More than 45 % Impervious)"
"35",35,36.38428664,2.502320422,58.1059099,163977.2857,2.7,0,0,0.92,1.44,0.04,1.48,0.15,5.29,0.547,9.02564031159591e-06,"Very urbanized (More than 45 % Impervious)"
"36",36,36.48504283,3.413503412,57.37834523,103198.2434,2.7,0,0,0.94,1.43,0.05,1.47,0.09,3.29,0.545,1.42444285054565e-05,"Very urbanized (More than 45 % Impervious)"
"37",37,41.21750926,2.866642563,57.21574745,237074.1957,2.7,0,0,0.9,1.4,0.07,1.47,0.22,7.52,0.543,6.200590476157e-06,"Very urbanized (More than 45 % Impervious)"
"38",38,67.5692662,29.49279649,0.093206635,12415473.15,6.24,0,0,1.42,0.01,1.29,1.3,10.05,91.58,0.208,1.04708051339952e-07,"Natural (less than 15 % Impervious)"
"39",39,50.75785821,11.31944206,42.93308382,210025.122,2.7,0,0,1.05,1.08,0.26,1.33,0.17,5.01,0.493,6.33257577633975e-06,"Urbanized (Between 15 and 45 % Impervious)"
"40",40,46.96257513,7.774445572,65.26444349,78272.63391,2.7,0,0,0.68,1.63,0.13,1.77,0.09,2.84,0.654,2.26132673909402e-05,"Very urbanized (More than 45 % Impervious)"
"41",41,58.69059822,31.78168357,0,1024091.664,2.7,0,0,1.55,0,0.42,0.42,0.27,3.36,0.156,4.10119537893241e-07,"Natural (less than 15 % Impervious)"
"42",42,49.94637945,12.77419164,52.07524372,1097148.995,2.7,0,0,0.89,1.26,0.15,1.42,0.97,31.54,0.524,1.29426359270374e-06,"Very urbanized (More than 45 % Impervious)"
"43",43,62.43704344,33.91832406,0.158683592,492509.8642,2.7,0,0,1.38,0,0.69,0.69,0.21,2.73,0.257,1.40098716828909e-06,"Natural (less than 15 % Impervious)"
"44",44,46.81876804,9.792575178,56.58470774,246676.7259,2.7,0,0,0.85,1.4,0.14,1.54,0.24,7.75,0.571,6.24298864994786e-06,"Very urbanized (More than 45 % Impervious)"
"45",45,46.68191561,10.83737171,75.81187507,205273.4788,2.7,0,0,0.47,1.86,0.08,1.94,0.25,8.63,0.719,9.45080685211245e-06,"Very urbanized (More than 45 % Impervious)"
"46",46,57.85258332,9.180995339,59.97948939,209977.2853,2.7,0,0,0.63,1.49,0.28,1.77,0.23,7.21,0.657,8.42948320562939e-06,"Very urbanized (More than 45 % Impervious)"
"47",47,44.12992115,9.0178653,73.67874059,163180.851,2.7,0,0,0.53,1.83,0.08,1.9,0.19,6.68,0.705,1.16435230503854e-05,"Very urbanized (More than 45 % Impervious)"
"48",48,58.75910367,7.954645437,39.93227871,444740.1573,2.7,0,0,0.93,0.99,0.39,1.38,0.38,10.18,0.51,3.10293544971951e-06,"Urbanized (Between 15 and 45 % Impervious)"
"49",49,44.95489459,11.6266179,61.33457951,317060.0545,2.7,0,0,0.78,1.51,0.1,1.62,0.32,10.79,0.599,5.10944212936165e-06,"Very urbanized (More than 45 % Impervious)"
"50",50,61.80036144,32.39232894,1.474599605,318019.5355,2.7,0,0,1.39,0.04,0.65,0.69,0.14,1.69,0.255,2.1696780322478e-06,"Natural (less than 15 % Impervious)"
"51",51,45.48179018,3.205696179,65.70617625,194382.0056,2.7,0,0,0.68,1.61,0.1,1.71,0.21,7.08,0.633,8.79711059015845e-06,"Very urbanized (More than 45 % Impervious)"
"52",52,46.04249877,14.2092259,49.06820134,521285.7079,2.7,0,0,1.01,1.21,0.14,1.36,0.44,14.2,0.502,2.60893398646735e-06,"Very urbanized (More than 45 % Impervious)"
"53",53,53.98840721,21.1789757,32.12886722,143664.1278,2.7,0,0,1.17,0.81,0.38,1.19,0.11,2.58,0.44,8.2832090252665e-06,"Urbanized (Between 15 and 45 % Impervious)"
"54",54,46.30915744,11.98504143,65.90850376,301206.4425,2.7,0,0,0.67,1.61,0.1,1.71,0.32,11,0.634,5.67716940516636e-06,"Very urbanized (More than 45 % Impervious)"
"55",55,52.00221752,14.01245628,43.23871699,456026.8006,2.7,0,0,1.02,1.07,0.25,1.32,0.38,10.95,0.489,2.89456671902454e-06,"Urbanized (Between 15 and 45 % Impervious)"
"56",56,61.26885146,29.99659999,7.289334,634933.528,2.7,0,0,1.33,0.18,0.56,0.74,0.29,3.89,0.275,1.16547633313829e-06,"Natural (less than 15 % Impervious)"
"57",57,45.77823338,15.03656872,56.38068612,313040.0367,2.7,0,0,0.87,1.4,0.13,1.53,0.3,9.8,0.565,4.8875537331548e-06,"Very urbanized (More than 45 % Impervious)"
"58",58,46.82200738,13.47371249,50.48965135,794612.2964,2.7,0,0,0.97,1.24,0.13,1.37,0.68,22.24,0.507,1.72411125048882e-06,"Very urbanized (More than 45 % Impervious)"
"59",59,53.7404835,9.355130215,58.61615029,241399.5504,2.7,0,0,0.72,1.45,0.22,1.67,0.25,7.86,0.617,6.91799134353317e-06,"Very urbanized (More than 45 % Impervious)"
"60",60,58.26650801,10.20005574,66.27512006,130703.8635,2.7,0,0,0.53,1.65,0.25,1.9,0.15,4.97,0.702,1.4536678175546e-05,"Very urbanized (More than 45 % Impervious)"
"61",61,53.29546084,8.729538441,49.27959815,383882.1694,2.7,0,0,0.89,1.22,0.24,1.46,0.35,10.51,0.54,3.80325036268798e-06,"Very urbanized (More than 45 % Impervious)"
"62",62,47.1124157,4.969306881,57.62114314,816823.6955,2.7,0,0,0.83,1.39,0.1,1.49,0.76,25.82,0.552,1.82413905008954e-06,"Very urbanized (More than 45 % Impervious)"
"63",63,55.59826107,11.35084752,59.59508223,1260905.984,2.7,0,0,0.68,1.43,0.19,1.63,1.28,41.25,0.602,1.29272128190645e-06,"Very urbanized (More than 45 % Impervious)"
"64",64,62,28.08302572,10.63857967,179960.756,2.7,0,0,1.25,0.27,0.69,0.95,0.11,2.18,0.353,5.27892870154424e-06,"Natural (less than 15 % Impervious)"
"65",65,59.79150393,12.2859432,54.98557019,309782.866,2.7,0,0,0.68,1.36,0.32,1.68,0.32,9.77,0.622,5.42315339028466e-06,"Very urbanized (More than 45 % Impervious)"
"66",66,60.8477603,20.46153661,30.37886608,310209.2866,2.7,0,0,1.01,0.76,0.44,1.21,0.23,5.46,0.446,3.90059244602898e-06,"Urbanized (Between 15 and 45 % Impervious)"
"67",67,59.21464753,13.09451411,65.31544476,376961.0186,2.7,0,0,0.53,1.6,0.24,1.84,0.43,13.9,0.68,4.88114130960702e-06,"Very urbanized (More than 45 % Impervious)"
"68",68,64.12347737,16.77800082,56.40239857,306366.8551,2.7,0,0,0.56,1.4,0.41,1.81,0.35,10.65,0.67,5.90794979897289e-06,"Very urbanized (More than 45 % Impervious)"
"69",69,61.92278616,23.71009394,39.74706986,171176.1085,2.7,0,0,0.85,1,0.51,1.51,0.16,4.38,0.558,8.82132450160239e-06,"Urbanized (Between 15 and 45 % Impervious)"
"70",70,59.24870466,18.90064401,38.95121684,236054.897,2.7,0,0,0.93,0.98,0.44,1.42,0.21,5.5,0.525,6.0155498489828e-06,"Urbanized (Between 15 and 45 % Impervious)"
"71",71,58.22480265,1.229756545,63.33945328,161251.173,2.7,0,0,0.57,1.55,0.24,1.78,0.18,5.73,0.66,1.10386793899478e-05,"Very urbanized (More than 45 % Impervious)"
"72",72,59.32936266,3.150903879,45.27106014,352887.1791,2.7,0,0,0.83,1.46,0.36,1.46,0.32,8.87,0.539,4.13729964268912e-06,"Very urbanized (More than 45 % Impervious)"
"73",73,52.91550998,10.67842504,25.5618759,592047.0484,2.7,0,0,1.32,0.93,0.3,0.93,0.34,8.41,0.344,1.57082110706119e-06,"Urbanized (Between 15 and 45 % Impervious)"
"74",74,45.63212165,0.513034194,49.9518791,1593473.115,2.7,0,0,0.99,1.13,0.03,1.16,1.15,34.84,0.43,7.27969608699674e-07,"Very urbanized (More than 45 % Impervious)"
"75",75,57.16000036,3.103798958,49.96926038,646779.5547,2.7,0,0,0.81,1.2,0.25,1.45,0.59,17.83,0.538,2.24187667878983e-06,"Very urbanized (More than 45 % Impervious)"
"76",76,61.94713271,12.66893273,21.94615359,1533842.77,2.7,0,0,1.09,0.54,0.32,0.86,0.82,19.05,0.317,5.60683283072097e-07,"Urbanized (Between 15 and 45 % Impervious)"
"77",77,47.55275509,0.063163121,27.73969292,519621.8684,2.7,0,0,1.4,0.65,0.05,0.69,0.22,7.33,0.257,1.32788868591043e-06,"Urbanized (Between 15 and 45 % Impervious)"
"78",78,42.51235661,0.662519556,45.86953124,1272102.338,2.7,0,0,1.12,1.06,0.03,1.08,0.86,28.56,0.402,8.48988298927252e-07,"Very urbanized (More than 45 % Impervious)"
"79",79,42.64163649,0.780962719,55.67441413,703208.6192,2.7,0,0,0.91,1.31,0.04,1.35,0.59,20.56,0.5,1.91977169098954e-06,"Very urbanized (More than 45 % Impervious)"
"80",80,42.06349546,0,34.72397236,328301.2434,2.7,0,0,1.36,0,0,0,0,0,0,0,"Urbanized (Between 15 and 45 % Impervious)"
"81",81,43.01181935,0.202127771,53.67397184,288828.9172,2.7,0,0,0.95,1.27,0.05,1.32,0.24,8.31,0.49,4.57017951248269e-06,"Very urbanized (More than 45 % Impervious)"
"82",82,52.36590093,12.98454078,50.03240953,65510.58194,2.7,0,0,0.89,1.26,0.26,1.52,0.06,1.82,0.561,2.32023583822251e-05,"Very urbanized (More than 45 % Impervious)"
"83",83,66.33976614,33.80248846,0,249137.794,2.7,0,0,1.17,0,0.89,0.89,0.14,2.12,0.329,3.57232030400012e-06,"Natural (less than 15 % Impervious)"
"84",84,62.10954935,27.63411142,4.567331708,862615.6123,2.7,0,0,1.33,0.11,0.54,0.66,0.35,3.94,0.244,7.65114832828305e-07,"Natural (less than 15 % Impervious)"
"85",85,62,30.45274774,0.488281567,287422.7561,2.7,0,0,1.39,0.01,0.73,0.75,0.13,2.17,0.276,2.60939673036557e-06,"Natural (less than 15 % Impervious)"
"86",86,62,32.79587617,0,259891.6286,2.7,0,0,1.4,0,0.75,0.75,0.12,2.13,0.279,2.88581823139185e-06,"Natural (less than 15 % Impervious)"
"87",87,62,32.53339197,0.354659927,220569.3952,2.7,0,0,1.39,0.01,0.74,0.74,0.1,1.68,0.276,3.3549532079417e-06,"Natural (less than 15 % Impervious)"
"88",88,58.86032285,12.4884884,45.34938012,245841.817,2.7,0,0,0.84,1.14,0.35,1.48,0.23,6.34,0.55,6.02013122934248e-06,"Very urbanized (More than 45 % Impervious)"
"89",89,58.82176935,12.26721668,54.37988009,929708.7833,2.7,0,0,0.7,1.32,0.28,1.61,0.93,28.35,0.595,1.73172506156746e-06,"Very urbanized (More than 45 % Impervious)"
"90",90,60.40234513,32.04143777,3.833246125,919388.5521,2.7,0,0,1.42,0.1,0.49,0.58,0.33,3.9,0.216,6.3085405911919e-07,"Natural (less than 15 % Impervious)"
"91",91,61.92057367,7.225773467,49.19776606,543493.0873,2.7,0,0,0.71,1.21,0.39,1.6,0.54,15.54,0.591,2.94391968801035e-06,"Very urbanized (More than 45 % Impervious)"
"92",92,61.12416364,32.32297981,0.359272275,364994.4568,2.7,0,0,1.44,0.01,0.65,0.66,0.15,1.97,0.246,1.80824663965143e-06,"Natural (less than 15 % Impervious)"
"93",93,37.87740782,0.094002039,26.0080801,520654.21,2.7,0,0,1.61,0.61,0.01,0.62,0.2,7.11,0.23,1.1908095394062e-06,"Urbanized (Between 15 and 45 % Impervious)"
"94",94,57.41689744,36.32299579,0,3624922.752,6.24,0,0,2.41,0,1.84,1.84,4.16,40.33,0.295,5.07597023684106e-07,"Natural (less than 15 % Impervious)"
"95",95,61.07100846,25.74114412,34.04731109,322086.5192,2.7,0,0,0.95,0.85,0.44,1.29,0.26,6.35,0.477,4.00513502770656e-06,"Urbanized (Between 15 and 45 % Impervious)"
"96",96,60.25322483,31.66308143,9.212696318,628696.5923,2.7,0,0,1.34,0.23,0.52,0.75,0.29,4.11,0.278,1.1929442742106e-06,"Natural (less than 15 % Impervious)"
"97",97,59.01045859,12.80407377,47.90957767,218448.3655,2.7,0,0,0.8,1.2,0.34,1.54,0.21,5.96,0.571,7.04972086412796e-06,"Very urbanized (More than 45 % Impervious)"
