"node","x","y"
"J380",-157.75173813,21.283367976
"J382",-157.751661665,21.28320852
"J407",-157.749847999,21.321192767
"J211",-157.754623598,21.311802701
"J508",-157.747069975,21.293551143
"J500",-157.7472713,21.293364524
"J540",-157.746454285,21.285542283
"J543",-157.746393481,21.285427849
"J568",-157.745974575,21.2834465
"J599",-157.745491923,21.283170424
"J227",-157.754472743,21.298880054
"J197",-157.754755193,21.298808654
"J246",-157.754252928,21.289208321
"J252",-157.754166484,21.289305146
"J622",-157.744959066,21.287602571
"J640",-157.744559304,21.287513463
"J472",-157.747789589,21.291227518
"J476",-157.747770024,21.291318027
"J186",-157.754987323,21.300657226
"J174",-157.755313529,21.300695924
"J623",-157.744851048,21.289044426
"J631",-157.744707719,21.2884143
"J96",-157.756352373,21.284301504
"J148",-157.755670504,21.283900909
"J250",-157.754182385,21.28128979
"J260",-157.754039338,21.280986202
"J358",-157.752210666,21.2826008893
"J332",-157.752642153,21.282420487
"J558",-157.746145592,21.292677336
"J534",-157.746586688,21.292599155
"J510",-157.74701284,21.286085616
"J525",-157.746765744,21.286039001
"J635",-157.74463262,21.29276378
"J641",-157.7445307,21.292461594
"J301",-157.753128508,21.287992233
"J298",-157.753168237,21.287947127
"J542",-157.746396966,21.29473667
"J505",-157.747180324,21.293919465
"J49",-157.757081697,21.290228488
"J63",-157.756781409,21.290197339
"J311",-157.752939148,21.289033982
"J310",-157.752952815,21.289097987
"J595",-157.745552517,21.290819121
"J596",-157.74553152,21.290734874
"J56",-157.756934771,21.282680927
"J65",-157.756757336,21.282074712
"J179",-157.755270026,21.298823082
"J162",-157.755485613,21.298812477
"J327",-157.752728474,21.292720227
"J322",-157.752812618,21.292681768
"J158",-157.755541537,21.288620429
"J165",-157.755417213,21.288755225
"J270",-157.753820412,21.280610177
"J324",-157.752763089,21.28102301
"J463",-157.747927367,21.291212755
"J464",-157.747901752,21.29131195
"J415",-157.749477181,21.287956816
"J418",-157.749343489,21.287633986
"J1",-157.759067767,21.274633472
"J3",-157.758596138,21.274801225
"J525",-157.746765744,21.286039001
"J529",-157.746687913,21.285894812
"J485",-157.747506666,21.286883335
"J495",-157.747332599,21.286297062
"J46",-157.757143209,21.274030784
"J71",-157.756702881,21.274118344
"J585",-157.745728337,21.29168057
"J583",-157.745733164,21.291604192
"J306",-157.753029223,21.284127041
"J286",-157.753361641,21.283992726
"J236",-157.754366685,21.289688112
"J243",-157.754279265,21.289709491
"J224",-157.754519159,21.284101063
"J280",-157.753577998,21.284466323
"J441",-157.748550311,21.2815083585
"J402",-157.750259487,21.281057503
"J610",-157.745325171,21.281711934
"J545",-157.746334187,21.281633362
"J11",-157.757815428,21.282758126
"J20",-157.757536278,21.282830091
"J517",-157.746862984,21.288893539
"J506",-157.74714367,21.288556424
"J442",-157.748521396,21.278474991
"J458",-157.748003374,21.277511628
"J529",-157.746687913,21.285894812
"J533",-157.746605176,21.285766623
"J488",-157.747428675,21.279242399
"J484",-157.747521755,21.279641686
"J62",-157.756812424,21.282064748
"J65",-157.756757336,21.282074712
"J19",-157.757541852,21.287933061
"J25",-157.757445929,21.287990774
"J650",-157.744244176,21.28396851
"J648",-157.744256391,21.283441384
"J667",-157.74359337,21.290416846
"J669",-157.743465807,21.290307327
"J504",-157.747218225,21.285115704
"J501",-157.747230707,21.284979529
"J94",-157.756377396,21.297300751
"J107",-157.756213718,21.297261052
"J12",-157.757749778,21.276000044
"J22",-157.757489764,21.275156788
"J526",-157.746765339,21.283879631
"J559",-157.746142777,21.283535827
"J60",-157.756837873,21.287123916
"J32",-157.757333964,21.286862124
"J468",-157.747840376,21.292961193
"J473",-157.747784235,21.292901901
"J39",-157.757267182,21.283567431
"J95",-157.756362857,21.2843040735
"J251",-157.754180097,21.284652969
"J274",-157.753750992,21.284844998
"J527",-157.746748183,21.283996158
"J526",-157.746765339,21.283879631
"J129",-157.755898808,21.288033143
"J87",-157.756495809,21.28793855
"J365",-157.75210626,21.290034933
"J361",-157.752182834,21.289668692
"J138",-157.755794732,21.28670959
"J144",-157.755712383,21.286773131
"J322",-157.752812618,21.292681768
"J325",-157.752746237,21.292637624
"J461",-157.747963565,21.289998098
"J460",-157.747964549,21.289906306
"J398",-157.750496621,21.283476006
"J384",-157.751445321,21.283263814
"J30",-157.757361269,21.296281599
"J34",-157.757324874,21.296011833
"J522",-157.746789925,21.294867465
"J513",-157.746905345,21.294889582
"J466",-157.747870837,21.291541403
"J464",-157.747901752,21.29131195
"J268",-157.75385797,21.289143454
"J288",-157.753354688,21.289086191
"J614",-157.745246436,21.291759676
"J597",-157.745522796,21.291626052
"J72",-157.756687912,21.293683789
"J106",-157.756259623,21.293562189
"J663",-157.743820737,21.287418628
"J655",-157.74417627,21.287387937
"J206",-157.754663126,21.294688895
"J192",-157.754797185,21.294664252
"J77",-157.75660667,21.297279164
"J94",-157.756377396,21.297300751
"J292",-157.753306514,21.288251266
"J293",-157.753293501,21.288128442
"J586",-157.74572356,21.284882009
"J581",-157.745758176,21.284474121
"J603",-157.745436954,21.286790766
"J609",-157.745361687,21.28658986
"J75",-157.756629455,21.276348054
"J91",-157.756408149,21.275412352
"J110",-157.756176609,21.274450354
"J111",-157.756136116,21.274218155
"J357",-157.752236589,21.284430722
"J306",-157.753029223,21.284127041
"J269",-157.753856383,21.296928766
"J245",-157.754268454,21.296701385
"J229",-157.754453885,21.295764769
"J218",-157.754567266,21.295810036
"J8",-157.757848159,21.282553307
"J36",-157.757306566,21.282309333
"J431",-157.748743924,21.281724391
"J439",-157.748554491,21.2815034
"J242",-157.754281003,21.289105925
"J257",-157.754086725,21.289136006
"J644",-157.744503095,21.280511236
"J639",-157.744566043,21.280428667
"J430",-157.748823544,21.292839699
"J429",-157.748844113,21.292746991
"J130",-157.755897164,21.282267213
"J153",-157.755575781,21.2817308542
"J629",-157.744783686,21.289455585
"J627",-157.744795451,21.289075576
"J338",-157.752471376,21.288820349
"J362",-157.752180722,21.288519338
"J347",-157.752388119,21.288986582
"J352",-157.75230717,21.289090577
"J577",-157.745830913,21.287713222
"J600",-157.7454814,21.287473222
"J232",-157.754421301,21.291068245
"J208",-157.754659758,21.291189121
"J561",-157.746137586,21.293119756
"J490",-157.747419152,21.292696023
"J200",-157.754709468,21.299570279
"J196",-157.754762667,21.299111717
"J584",-157.745729855,21.280746014
"J593",-157.745640182,21.280727849
"J304",-157.753046684,21.28971864
"J308",-157.753015534,21.289683344
"J85",-157.756535614,21.298033233
"J126",-157.755932816,21.298193614
"J65",-157.756757336,21.282074712
"J115",-157.75610027,21.282221979
"J419",-157.749331663,21.284351654
"J417",-157.749385729,21.284077801
"J149",-157.755660904,21.288595226
"J158",-157.755541537,21.288620429
"J492",-157.747371286,21.287075339
"J485",-157.747506666,21.286883335
"J40",-157.757225476,21.28897962
"J33",-157.757330041,21.288132746
"J436",-157.748624234,21.278915668
"J442",-157.748521396,21.278474991
"J59",-157.756882423,21.293738529
"J72",-157.756687912,21.293683789
"J221",-157.754528374,21.299546155
"J200",-157.754709468,21.299570279
"J258",-157.754085531,21.289190524
"J257",-157.754086725,21.289136006
"J552",-157.746249404,21.292284624
"J608",-157.745364489,21.292132159
"J447",-157.748384932,21.291914611
"J471",-157.747793588,21.29198197
"J201",-157.754706122,21.298079695
"J177",-157.755283127,21.297949501
"J487",-157.747499073,21.292625161
"J479",-157.747737198,21.292346132
"J134",-157.755861398,21.303591767
"J167",-157.755400132,21.2929417
"J571",-157.745910876,21.289677375
"J594",-157.74562576,21.289365911
"J562",-157.74612593,21.294394343
"J560",-157.746141334,21.294133226
"J266",-157.753928814,21.287170109
"J277",-157.753688169,21.28748453
"J483",-157.747558838,21.290368012
"J467",-157.747849128,21.290311412
"J605",-157.745404554,21.286089914
"J574",-157.745888329,21.285681192
"J455",-157.748173908,21.289662287
"J451",-157.748265735,21.289566233
"J219",-157.754549933,21.275864618
"J166",-157.755407698,21.278532726
"J549",-157.746299597,21.288362976
"J557",-157.746169509,21.288284036
"J191",-157.7548046,21.295726595
"J188",-157.754900048,21.295516871
"J395",-157.750603804,21.2793202053
"J390",-157.75108903,21.279024994
"J410",-157.749678599,21.325443967
"J211",-157.754623598,21.311802701
"J79",-157.756595138,21.281357069
"J83",-157.756555564,21.281309588
"J389",-157.751136658,21.284945688
"J393",-157.75094694,21.28488682
"J133",-157.755865471,21.293447218
"J173",-157.75531715,21.293287659
"J220",-157.75454508,21.284631225
"J228",-157.754460038,21.284549201
"J362",-157.752180722,21.288519338
"J366",-157.752089653,21.288527505
"J202",-157.754705048,21.291112064
"J215",-157.754594097,21.2905442138
"J34",-157.757324874,21.296011833
"J35",-157.757321461,21.29598654
"J88",-157.756492802,21.286421836
"J29",-157.757380115,21.285812462
"J193",-157.754786629,21.285537944
"J205",-157.754667712,21.285514156
"J151",-157.75559921,21.288824248
"J158",-157.755541537,21.288620429
"J170",-157.75536528,21.287744605
"J181",-157.755189945,21.287866119
"J265",-157.753937788,21.294997209
"J256",-157.754137912,21.295358985
"J481",-157.747625662,21.294142588
"J478",-157.747758097,21.294146851
"J7",-157.757869712,21.289283739
"J9",-157.757826132,21.289439558
"J115",-157.75610027,21.282221979
"J130",-157.755897164,21.282267213
"J325",-157.752746237,21.292637624
"J336",-157.752553061,21.292444121
"J567",-157.74599581,21.282401953
"J550",-157.746279813,21.282319943
"J164",-157.755436044,21.300597824
"J120",-157.756013649,21.300667711
"J58",-157.75691633,21.296740338
"J64",-157.756766623,21.296740121
"J119",-157.756027737,21.296563665
"J159",-157.755536497,21.296626976
"J53",-157.757039779,21.293783888
"J59",-157.756882423,21.293738529
"J448",-157.748368889,21.28867811
"J446",-157.748407314,21.288457848
"J290",-157.753342919,21.287997968
"J298",-157.753168237,21.287947127
"J172",-157.755325859,21.296641557
"J160",-157.755531595,21.296607596
"J668",-157.743471331,21.320461567
"J167",-157.755400132,21.2929417
"J570",-157.745923998,21.289374238
"J594",-157.74562576,21.289365911
"J413",-157.749526282,21.279558448
"J409",-157.749805778,21.279493079
"J21",-157.757496583,21.28464556
"J14",-157.757615967,21.284609537
"J520",-157.746816528,21.292216133
"J531",-157.746634404,21.291840643
"J344",-157.752413471,21.285687228
"J353",-157.752284831,21.285329959
"J434",-157.748734676,21.282679121
"J443",-157.748503441,21.284522196
"J574",-157.745888329,21.285681192
"J543",-157.746393481,21.285427849
"J73",-157.756667606,21.299251006
"J68",-157.756714712,21.298950774
"J409",-157.749805778,21.279493079
"J399",-157.750480473,21.279335734
"J518",-157.746839041,21.289792956
"J554",-157.74621312,21.289799883
"J23",-157.757474153,21.290702512
"J38",-157.757281413,21.290688552
"J337",-157.752509572,21.285962357
"J340",-157.752439031,21.285990149
"J383",-157.751653998,21.280254767
"J405",-157.750142709,21.276932039
"J230",-157.754436632,21.289797233
"J236",-157.754366685,21.289688112
"J569",-157.745955363,21.285783658
"J574",-157.745888329,21.285681192
"J124",-157.755955155,21.290057134
"J135",-157.755860386,21.289637934
"J333",-157.752612751,21.280908994
"J369",-157.752063746,21.281151689
"J51",-157.757054853,21.291147051
"J48",-157.757108138,21.290671848
"J5",-157.757954819,21.283124235
"J11",-157.757815428,21.282758126
"J225",-157.754496973,21.299009691
"J227",-157.754472743,21.298880054
"J590",-157.745648638,21.293185021
"J579",-157.745814508,21.292888908
"J246",-157.754252928,21.289208321
"J241",-157.754315639,21.289252437
"J168",-157.755393932,21.297884143
"J152",-157.755592113,21.297829834
"J386",-157.751392667,21.284883483
"J385",-157.751413846,21.284952616
"J649",-157.74424471,21.28956929
"J652",-157.744222653,21.289475551
"J602",-157.745458101,21.290397902
"J598",-157.745521537,21.290393045
"J435",-157.748713694,21.289129407
"J432",-157.748742285,21.288806273
"J107",-157.756213718,21.297261052
"J119",-157.756027737,21.296563665
"J507",-157.747119434,21.290487337
"J516",-157.746865288,21.29091458
"J503",-157.747222499,21.278945219
"J511",-157.746986246,21.278011041
"J44",-157.757163537,21.297192288
"J50",-157.757075119,21.296907176
"J293",-157.753293501,21.288128442
"J290",-157.753342919,21.287997968
"J208",-157.754659758,21.291189121
"J202",-157.754705048,21.291112064
"J245",-157.754268454,21.296701385
"J237",-157.754357409,21.296662056
"J66",-157.756735368,21.28894826
"J40",-157.757225476,21.28897962
"J187",-157.754937543,21.296649756
"J184",-157.755068455,21.296698177
"J226",-157.754474287,21.296710457
"J198",-157.754755044,21.296675794
"J234",-157.754398371,21.286749954
"J247",-157.754248002,21.286871741
"J143",-157.755723711,21.280365297
"J145",-157.755709443,21.28011315
"J621",-157.74500281,21.292085059
"J608",-157.745364489,21.292132159
"J231",-157.754428571,21.282022023
"J255",-157.754144319,21.282120781
"J575",-157.745875698,21.283515372
"J568",-157.745974575,21.2834465
"J299",-157.753151329,21.289716537
"J305",-157.753034508,21.289534674
"J38",-157.757281413,21.290688552
"J48",-157.757108138,21.290671848
"J65",-157.756757336,21.282074712
"J79",-157.756595138,21.281357069
"J392",-157.750965041,21.281985611
"J397",-157.750500417,21.281007451
"J376",-157.751957348,21.28832912
"J367",-157.752085474,21.287637521
"J181",-157.755189945,21.287866119
"J209",-157.754640024,21.288259296
"J648",-157.744256391,21.283441384
"J654",-157.744189193,21.283075723
"J33",-157.757330041,21.288132746
"J25",-157.757445929,21.287990774
"J479",-157.747737198,21.292346132
"J490",-157.747419152,21.292696023
"J125",-157.755937811,21.286650612
"J88",-157.756492802,21.286421836
"J71",-157.756702881,21.274118344
"J80",-157.756590296,21.273613515
"J24",-157.757459941,21.282812775
"J52",-157.757043416,21.282921532
"J576",-157.745853903,21.288606399
"J557",-157.746169509,21.288284036
"J403",-157.750225444,21.285521093
"J377",-157.751932169,21.286760008
"J353",-157.752284831,21.285329959
"J341",-157.752430256,21.285012092
"J71",-157.756702881,21.274118344
"J111",-157.756136116,21.274218155
"J105",-157.756280273,21.300948499
"J101",-157.756327379,21.300648268
"J421",-157.749276781,21.284663988
"J420",-157.749282752,21.28463
"J184",-157.755068455,21.296698177
"J172",-157.755325859,21.296641557
"J642",-157.744530198,21.284429844
"J650",-157.744244176,21.28396851
"J335",-157.752595382,21.293044999
"J328",-157.752683917,21.293016461
"J35",-157.757321461,21.29598654
"J53",-157.757039779,21.293783888
"J128",-157.755903156,21.290195843
"J141",-157.755740363,21.290279932
"J654",-157.744189193,21.283075723
"J657",-157.744144514,21.282763077
"J209",-157.754640024,21.288259296
"J254",-157.754145654,21.288363415
"J221",-157.754528374,21.299546155
"J223",-157.754525704,21.299523863
"J276",-157.753697084,21.282281221
"J278",-157.753629678,21.282265517
"J616",-157.745086743,21.285254766
"J589",-157.745649725,21.285196566
"J670",-157.743340491,21.288901558
"J671",-157.743308508,21.288125838
"J336",-157.752553061,21.292444121
"J351",-157.75231309,21.29235079
"J9",-157.757826132,21.289439558
"J31",-157.757336982,21.289941829
"J195",-157.754774602,21.298942475
"J189",-157.754867975,21.298849792
"J348",-157.752364805,21.2830595456
"J321",-157.752846301,21.282864668
"J247",-157.754248002,21.286871741
"J266",-157.753928814,21.287170109
"J573",-157.745891743,21.28786949
"J577",-157.745830913,21.287713222
"J13",-157.757698483,21.290120548
"J23",-157.757474153,21.290702512
"J652",-157.744222653,21.289475551
"J629",-157.744783686,21.289455585
"J236",-157.754366685,21.289688112
"J246",-157.754252928,21.289208321
"J42",-157.757209284,21.290119032
"J45",-157.757156056,21.290112911
"J604",-157.745430873,21.29086352
"J596",-157.74553152,21.290734874
"J600",-157.7454814,21.287473222
"J622",-157.744959066,21.287602571
"J443",-157.748503441,21.284522196
"J422",-157.749270865,21.28469765
"J311",-157.752939148,21.289033982
"J316",-157.752901734,21.288996831
"J548",-157.746312472,21.281926522
"J547",-157.74631926,21.28173944
"J496",-157.7473173,21.279105919
"J488",-157.747428675,21.279242399
"J52",-157.757043416,21.282921532
"J54",-157.756998316,21.282886239
"J411",-157.749611157,21.288080899
"J415",-157.749477181,21.287956816
"J631",-157.744707719,21.2884143
"J630",-157.744746807,21.288294626
"J627",-157.744795451,21.289075576
"J623",-157.744851048,21.289044426
"J158",-157.755541537,21.288620429
"J163",-157.755484718,21.288565288
"J283",-157.753516296,21.292998349
"J295",-157.753258921,21.292787426
"J303",-157.753085322,21.289227997
"J305",-157.753034508,21.289534674
"J20",-157.757536278,21.282830091
"J24",-157.757459941,21.282812775
"J402",-157.750259487,21.281057503
"J397",-157.750500417,21.281007451
"J645",-157.744459344,21.286127843
"J638",-157.744568635,21.286084703
"J420",-157.749282752,21.28463
"J419",-157.749331663,21.284351654
"J422",-157.749270865,21.28469765
"J421",-157.749276781,21.284663988
"J356",-157.752256113,21.289322927
"J361",-157.752182834,21.289668692
"J281",-157.753577247,21.295990093
"J275",-157.75370813,21.296056052
"J284",-157.753461578,21.278489969
"J279",-157.753616833,21.27939721
"J459",-157.747990168,21.294372033
"J454",-157.74819273,21.294193541
"J489",-157.747423873,21.284486627
"J499",-157.747272082,21.284187592
"J423",-157.749189165,21.290018563
"J426",-157.749104199,21.289934598
"J541",-157.74643571,21.287374972
"J566",-157.7460076,21.287165656
"J632",-157.744681174,21.282558633
"J628",-157.744786699,21.282546061
"J457",-157.74809983,21.293214655
"J468",-157.747840376,21.292961193
"J502",-157.747226208,21.284222243
"J499",-157.747272082,21.284187592
"J216",-157.754570175,21.299091611
"J196",-157.754762667,21.299111717
"J399",-157.750480473,21.279335734
"J396",-157.750601296,21.279314558
"J428",-157.748878435,21.292900989
"J430",-157.748823544,21.292839699
"J460",-157.747964549,21.289906306
"J455",-157.748173908,21.289662287
"J560",-157.746141334,21.294133226
"J578",-157.745824553,21.293788736
"J450",-157.748302326,21.28823718
"J452",-157.748243671,21.288125173
"J539",-157.746490144,21.280900023
"J378",-157.751829137,21.278714174
"J391",-157.750993418,21.278820734
"J554",-157.74621312,21.289799883
"J571",-157.745910876,21.289677375
"J279",-157.753616833,21.27939721
"J272",-157.753800538,21.279757097
"J580",-157.745788196,21.280487912
"J617",-157.7450608,21.279887232
"J534",-157.746586688,21.292599155
"J520",-157.746816528,21.292216133
"J233",-157.754401155,21.280434589
"J259",-157.754046003,21.280510716
"J386",-157.751392667,21.284883483
"J389",-157.751136658,21.284945688
"J135",-157.755860386,21.289637934
"J108",-157.756188756,21.289557263
"J673",-157.743251043,21.289234594
"J670",-157.743340491,21.288901558
"J619",-157.745032808,21.282914069
"J628",-157.744786699,21.282546061
"J611",-157.745300624,21.2928495994
"J635",-157.74463262,21.29276378
"J334",-157.752606324,21.288920729
"J347",-157.752388119,21.288986582
"J189",-157.754867975,21.298849792
"J179",-157.755270026,21.298823082
"J162",-157.755485613,21.298812477
"J154",-157.755566556,21.299189337
"J501",-157.747230707,21.284979529
"J489",-157.747423873,21.284486627
"J456",-157.748145217,21.281671568
"J440",-157.748551692,21.2815054583
"J368",-157.752067413,21.290208557
"J365",-157.75210626,21.290034933
"J470",-157.747816098,21.289999262
"J467",-157.747849128,21.290311412
"J183",-157.755068882,21.288913455
"J203",-157.754693077,21.289033665
"J41",-157.757211878,21.274244879
"J46",-157.757143209,21.274030784
"J64",-157.756766623,21.296740121
"J77",-157.75660667,21.297279164
"J424",-157.74916755,21.289040124
"J427",-157.749077491,21.288919905
"J404",-157.750169788,21.28025641
"J406",-157.75003954,21.279987938
"J665",-157.743653476,21.289981806
"J662",-157.743927998,21.289631275
"J438",-157.748598736,21.288756134
"J448",-157.748368889,21.28867811
"J307",-157.753026238,21.292726045
"J322",-157.752812618,21.292681768
"J22",-157.757489764,21.275156788
"J41",-157.757211878,21.274244879
"J218",-157.754567266,21.295810036
"J199",-157.754725407,21.295656559
"J346",-157.752394547,21.289021894
"J347",-157.752388119,21.288986582
"J551",-157.746276608,21.291244293
"J546",-157.74633005,21.291062161
"J341",-157.752430256,21.285012092
"J359",-157.752210091,21.284687754
"J537",-157.746493367,21.28426067
"J527",-157.746748183,21.283996158
"J318",-157.752883599,21.290855682
"J312",-157.75293495,21.290227371
"J152",-157.755592113,21.297829834
"J136",-157.755826403,21.297772966
"J524",-157.74677768,21.286127453
"J525",-157.746765744,21.286039001
"J69",-157.756712266,21.290713275
"J98",-157.756343984,21.29062388
"J150",-157.755642179,21.292557001
"J156",-157.75554746,21.292522355
"J204",-157.754691528,21.299848712
"J200",-157.754709468,21.299570279
"J318",-157.752883599,21.290855682
