"","station","station_name","elevation","lat","lon","date","time","qgag","qgag_flag","qgag_qual","qgag_units","qpcp","qpcp_flag","qpcp_qual","qpcp_units"
"1","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"2:00",0.25," ",NA,"HT",0.1," "," ","HT"
"2","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"2:15",0.26," ",NA,"HT",0.1," "," ","HT"
"3","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"2:45",0.27," ",NA,"HT",0.1," "," ","HT"
"4","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"3:30",0.28," ",NA,"HT",0.1," "," ","HT"
"5","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"4:15",0.31," ",NA,"HT",0.3," "," ","HT"
"6","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"4:30",0.35," ",NA,"HT",0.4," "," ","HT"
"7","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"4:45",0.38," ",NA,"HT",0.3," "," ","HT"
"8","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"5:15",0.39," ",NA,"HT",0.1," "," ","HT"
"9","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"5:30",0.4," ",NA,"HT",0.1," "," ","HT"
"10","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"6:45",0.41," ",NA,"HT",0.1," "," ","HT"
"11","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"7:15",0.42," ",NA,"HT",0.1," "," ","HT"
"12","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"8:15",0.44," ",NA,"HT",0.2," "," ","HT"
"13","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"8:30",0.46," ",NA,"HT",0.2," "," ","HT"
"14","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"9:45",0.47," ",NA,"HT",0.1," "," ","HT"
"15","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"10:30",0.49," ",NA,"HT",0.2," "," ","HT"
"16","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"10:45",0.5," ",NA,"HT",0.1," "," ","HT"
"17","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"11:00",0.52," ",NA,"HT",0.2," "," ","HT"
"18","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"12:00",0.53," ",NA,"HT",0.1," "," ","HT"
"19","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"12:15",0.55," ",NA,"HT",0.2," "," ","HT"
"20","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"12:30",0.59," ",NA,"HT",0.4," "," ","HT"
"21","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"12:45",0.62," ",NA,"HT",0.3," "," ","HT"
"22","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"13:00",0.63," ",NA,"HT",0.1," "," ","HT"
"23","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"13:15",0.64," ",NA,"HT",0.1," "," ","HT"
"24","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"13:30",0.65," ",NA,"HT",0.1," "," ","HT"
"25","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"13:45",0.66," ",NA,"HT",0.1," "," ","HT"
"26","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"14:15",0.67," ",NA,"HT",0.1," "," ","HT"
"27","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"14:30",0.68," ",NA,"HT",0.1," "," ","HT"
"28","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"14:45",0.7," ",NA,"HT",0.2," "," ","HT"
"29","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"15:00",0.71," ",NA,"HT",0.1," "," ","HT"
"30","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"15:15",0.73," ",NA,"HT",0.2," "," ","HT"
"31","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"15:30",0.74," ",NA,"HT",0.1," "," ","HT"
"32","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"15:45",0.75," ",NA,"HT",0.1," "," ","HT"
"33","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"16:15",0.76," ",NA,"HT",0.1," "," ","HT"
"34","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,20101219,"21:30",0.77," ",NA,"HT",0.1," "," ","HT"
